id,kind,domain,subfield,level,title,creator,canonical_id,tier,license_note,est_tokens,priority,epoch_cap,route,status
stack-v2-dedup,corpus,code,repos,mixed,"The Stack v2 (dedup)",BigCode,hf:bigcode/the-stack-v2-dedup,mixed,permissive core; full set usable under doctrine,800B,P0,-,hf,indexed
github-issues-prs,corpus,code,dev-discussion,mixed,"GitHub Issues & PRs (StarCoder2 pipeline)",BigCode,hf:bigcode/the-stack-github-issues,grey,public platform text,15B,P1,-,hf,indexed
jupyter-notebooks,corpus,xdomain,sci-computing,mixed,"Jupyter/Kaggle notebook slice (Stack v2 subset)",BigCode,hf:bigcode/the-stack-v2-dedup,mixed,code+prose+math interleaved,20B,P0,-,hf,indexed
scicomp-repo-slice,corpus,xdomain,sci-computing,mixed,"Scientific-computing repo slice (SciPy/SymPy/Astropy/FEniCS/papers-with-code)",tagged subset,hf:bigcode/the-stack-v2-dedup,green,mostly permissive; the transfer-teaching intersection,30B,P0,-,hf,indexed
fineweb-edu,corpus,general,web,mixed,"FineWeb-Edu",HuggingFace,hf:HuggingFaceFW/fineweb-edu,green,ODC-By,1300B,P0,-,hf,indexed
dclm-baseline,corpus,general,web,mixed,"DCLM-Baseline (alt glue)",MLFoundations,hf:mlfoundations/dclm-baseline-1.0,green,CC-BY,3800B,P2,-,hf,indexed
finemath,corpus,math,web-math,mixed,"FineMath (3+/4+)",HuggingFace,hf:HuggingFaceTB/finemath,green,ODC-By,34B,P0,-,hf,indexed
openwebmath,corpus,math,web-math,mixed,"OpenWebMath",Paster et al.,hf:open-web-math/open-web-math,green,ODC-By,15B,P0,-,hf,indexed
proof-pile-2,corpus,math,mixed,mixed,"Proof-Pile-2 (AlgebraicStack + arXiv + OWM)",EleutherAI,hf:EleutherAI/proof-pile-2,mixed,per-subset licenses,55B,P0,-,hf,indexed
mathpile,corpus,math,mixed,mixed,"MathPile",GAIR,hf:GAIR/MathPile,mixed,research license; overlap w/ OWM,9.5B,P1,-,hf,indexed
nemotron-cc-math,corpus,math,web-math,mixed,"Nemotron-CC-Math-v1 (3plus 133B / 4plus 52B)",NVIDIA,hf:nvidia/Nemotron-CC-Math-v1,green,NVIDIA Open Data License; Phi-4-cleaned; equation-preserving; overlaps OWM/FineMath,133B,P0,-,hf,indexed
nemotron-pretraining-code-v2,corpus,code,repos-synthetic,mixed,"Nemotron-Pretraining-Code-v2 (GitHub + grounded synthetic)",NVIDIA,hf:nvidia/Nemotron-Pretraining-Code-v2,green,NVIDIA Data Access Agreement; open teachers Qwen3-32B/Mixtral,340B,P1,-,hf,indexed
nemotron-cc-code,corpus,code,web-code,mixed,"Nemotron-CC-Code-v1",NVIDIA,hf:nvidia/Nemotron-CC-Code-v1,green,NVIDIA open data license,20B,P2,-,hf,indexed
arxiv-bulk-src,dump,xdomain,papers,research,"arXiv full LaTeX source (math/physics/cs/eess/cond-mat)",arXiv,https://info.arxiv.org/help/bulk_data_s3.html,grey,per-paper author licenses; source beats PDF OCR,30B,P0,-,arxiv-src,indexed
pes2o,corpus,xdomain,papers,research,"peS2o (S2ORC open-access papers)",AI2,hf:allenai/peS2o,green,OA subset,42B,P1,-,hf,indexed
pmc-oa,dump,general,papers-biomed,research,"PubMed Central OA subset",NIH,https://ftp.ncbi.nlm.nih.gov/pub/pmc/,green,OA licenses; bio-med leaning,90B,P2,-,dump,indexed
stackoverflow,dump,code,qa,mixed,"Stack Overflow data dump",Stack Exchange,https://archive.org/details/stackexchange,green,CC-BY-SA,20B,P0,-,dump,indexed
math-se-mo,dump,math,qa,mixed,"Math StackExchange + MathOverflow dumps",Stack Exchange,https://archive.org/details/stackexchange,green,CC-BY-SA,4B,P0,-,dump,indexed
physics-se,dump,physics,qa,mixed,"Physics StackExchange dump",Stack Exchange,https://archive.org/details/stackexchange,green,CC-BY-SA,1.5B,P0,-,dump,indexed
electronics-se,dump,eng,qa,mixed,"Electronics StackExchange dump",Stack Exchange,https://archive.org/details/stackexchange,green,CC-BY-SA,1B,P1,-,dump,indexed
scicomp-stats-se,dump,xdomain,qa,mixed,"CrossValidated + SciComp + CS-Theory SE dumps",Stack Exchange,https://archive.org/details/stackexchange,green,CC-BY-SA,1B,P1,-,dump,indexed
wikipedia-stem,dump,general,encyclopedia,mixed,"Wikipedia STEM slice (graph-selected via topic-graph job)",Wikimedia,https://dumps.wikimedia.org,green,CC-BY-SA; selection = PPR over link graph per doc S1.7,1.5B,P0,-,dump,indexed
uspto-patents,dump,eng,patents,research,"USPTO patent full text (filtered STEM slice)",USPTO,https://bulkdata.uspto.gov,green,public domain,50B,P1,-,dump,indexed
openstax,dump,xdomain,textbooks,ug,"OpenStax full catalog (~60 textbooks)",OpenStax,https://openstax.org,green,CC-BY; prime annealing-set material,25M,P0,-,scrape,indexed
libretexts,dump,xdomain,textbooks,ug,"LibreTexts STEM libraries",LibreTexts,https://libretexts.org,green,CC mostly,150M,P1,-,scrape,indexed
mit-ocw,dump,xdomain,lecture-notes,mixed,"MIT OpenCourseWare notes + problem sets",MIT,https://ocw.mit.edu,green,CC-BY-NC-SA,200M,P1,-,scrape,indexed
david-tong-notes,notes,physics,lecture-notes,mixed,"David Tong lecture notes (full set)",Tong,http://www.damtp.cam.ac.uk/user/tong/teaching.html,grey,official-free; superb quality,3M,P0,4,free-web,indexed
proofwiki,dump,math,proofs,mixed,"ProofWiki",community,https://proofwiki.org,green,CC-BY-SA,50M,P1,-,scrape,indexed
nlab,dump,math,research-wiki,research,"nLab",community,https://ncatlab.org,green,CC-BY-SA,40M,P1,-,scrape,indexed
gutenberg-stem,dump,general,classics,mixed,"Project Gutenberg STEM classics (Euclid/Newton/Maxwell/Faraday)",various,https://www.gutenberg.org,green,public domain,100M,P2,-,pd,indexed
doab-otl,dump,xdomain,textbooks,ug,"DOAB + Open Textbook Library",various,https://open.umn.edu/opentextbooks,green,open licenses,200M,P1,-,scrape,indexed
devdocs-readthedocs,dump,code,docs,mixed,"Language/library documentation (ReadTheDocs/DevDocs slice)",various,https://devdocs.io,mixed,mostly open,5B,P1,-,scrape,indexed
cosmopedia,corpus,general,synthetic,mixed,"Cosmopedia (synthetic textbook style seed)",HuggingFace,hf:HuggingFaceTB/cosmopedia,green,open-teacher synthetic,25B,P2,-,hf,indexed
standards-slice,dump,eng,standards,research,"Engineering standards slice (IEEE/ISO abstracts + public specs)",various,TBD,grey,mostly paywalled-published,1B,P2,4,lawful-copy,indexed
feynman-lectures,series,physics,general-physics,ug,"The Feynman Lectures on Physics (3 vols)",Feynman/Leighton/Sands,https://www.feynmanlectures.caltech.edu,grey,official-free online,1M,P0,4,free-web,indexed
landau-lifshitz,series,physics,theoretical-physics,grad,"Course of Theoretical Physics (10 vols)",Landau & Lifshitz,isbn:TBD,grey,,4M,P0,4,lawful-copy,indexed
